Article.ID,data column,data,notes
16,Lead.Author ,Magnago,
16,Year,2015,
16,Journal,BDC,biodiversity.conservation
16,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,
16,focal.subject.of.research,plant,
16,biome,Atlantic.Forest,
16,ecosystem,Fragments.of.lowland.ombrophilous.dense.forest,
16,Country,Brazil,
16,state,ES,Espirito.Santo
16,Municipality,Biological.Reserve.of.Sooretama,
16,field station,NA,
16,Latitude,19°06’08''S,
16,Longitude,40°02’02''W,
16,habitat.1,Forest.Edge,
16,habitat.2,Forest.Interior,
16,replicates.habitat.1,30,
16,replicates.habitat.2,30,
16,sampling.dist.hab1,plot,
16,sampling.dist.hab2,plot,
16,reps.per.dist.1,NA,
16,reps.per.dist.2,NA,
16,dist.btwn.pts.1,NA,
16,dist.btwn.pts.2,NA,
16,layout,random.plot,
16,var.1,AT,air.temperature
16,var.2,WS,wind.speed(km/h)
16,var.3,RH,relative.humidity(%)
16,equip.var.1,Kestrel.weather.and.Environmental.meters.model4500,
16,equip.var.2,Kestrel.weather.and.Environmental.meters.model4500,
16,equip.var.3,Kestrel.weather.and.Environmental.meters.model4500,
16,start.date,NA,
16,end.date,NA,
16,time.var.1,15.min.period-1.5.m.above.ground,
16,time.var.2,15.min.period-1.5.m.above.ground,
16,time.var.3,15.min.period-1.5.m.above.ground,
16,comparisons,Microclimatic.conditions.EdgeXInterior,
16,comparisons,Forest.strcture.edgeXInterior,
16,comparisons,effects.in.vegetation.structure.caused.by.changes.in.microclimate.conditions,
16,statistical analysis?,Y,
16,statistica methods,t-test.base.on.permutations,
16,statistica methods,GLM,generalized.linear.model
16,significant differences observed (Y/N),Y,
16,summary of results,All.microclimatic.variables.differ.significantly.btw.Edge.and.interior,
16,summary of results,Vegetation.structure.is.strongly.related.to.microclimate.conditions,
16,summary of results,Closer.to.edge.more.dead.trees,
16,summary of results,Edge.more.suceptible.to.strong.winds.lower.humidity.higher.AT.than.interior,
16,summary of results,NA,
16,data archived? Y/N,N,
16,data archive ,N,
16,accession number,NA,
16,was cited before,Y,
16,citations,10,
